RowID,Year,Continuum_of_Care,State,Total_Homeless
New Orleans Continuum of CareLAHomeless Point in Time Count2005,2005,New Orleans Continuum of Care,LA,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2005,2005,Atlanta Continuum of Care,GA,6832
Baton Rouge Continuum of CareLAHomeless Point in Time Count2005,2005,Baton Rouge Continuum of Care,LA,890
Nashville Continuum of CareTNHomeless Point in Time Count2005,2005,Nashville Continuum of Care,TN,1542
Tampa Continuum of CareFLHomeless Point in Time Count2005,2005,Tampa Continuum of Care,FL,9871
Louisville Continuum of CareKYHomeless Point in Time Count2005,2005,Louisville Continuum of Care,KY,1473
Miami Continuum of CareFLHomeless Point in Time Count2005,2005,Miami Continuum of Care,FL,3927
Oklahoma City Continuum of CareOKHomeless Point in Time Count2005,2005,Oklahoma City Continuum of Care,OK,1345
Memphis Continuum of CareTNHomeless Point in Time Count2005,2005,Memphis Continuum of Care,TN,1876
Raleigh Continuum of CareNCHomeless Point in Time Count2005,2005,Raleigh Continuum of Care,NC,1106
Benchmark AverageHomeless Point in Time Count2005,2005,Benchmark Average,,3207
New Orleans Continuum of CareLAHomeless Point in Time Count2006,2006,New Orleans Continuum of Care,LA,2051
Atlanta Continuum of CareGAHomeless Point in Time Count2006,2006,Atlanta Continuum of Care,GA,6483
Baton Rouge Continuum of CareLAHomeless Point in Time Count2006,2006,Baton Rouge Continuum of Care,LA,744
Nashville Continuum of CareTNHomeless Point in Time Count2006,2006,Nashville Continuum of Care,TN,1982
Tampa Continuum of CareFLHomeless Point in Time Count2006,2006,Tampa Continuum of Care,FL,9871
Louisville Continuum of CareKYHomeless Point in Time Count2006,2006,Louisville Continuum of Care,KY,2067
Miami Continuum of CareFLHomeless Point in Time Count2006,2006,Miami Continuum of Care,FL,4709
Oklahoma City Continuum of CareOKHomeless Point in Time Count2006,2006,Oklahoma City Continuum of Care,OK,1426
Memphis Continuum of CareTNHomeless Point in Time Count2006,2006,Memphis Continuum of Care,TN,1776
Raleigh Continuum of CareNCHomeless Point in Time Count2006,2006,Raleigh Continuum of Care,NC,981
